"Artist","Classifications","Color","Franchise","Image","Cost","Inkable","Name","Type","Lore","Rarity","Flavor_Text","Body_Text","Willpower","Strength","prints","Abilities","Card_Variants","Move_Cost"
"Stefano Zanchi","Storyborn, Ally","Amber, Steel","Bolt","https://lorcana-api.com/images/rhino/motivational_speaker/rhino-motivational_speaker-large.png",6,false,"Rhino - Motivational Speaker","Character",2,"Rare","""Don't forget, you are awesome. You can handle anything. Now channel your inner awesomeness and CLEAR THIS TRAP!""","Destiny Calling: Your other characters get +2 {w}.",7,4,"[""ARI-001""]",,,
"C?cile Carre","Storyborn, Hero","Amber, Sapphire","101 Dalmatians","https://lorcana-api.com/images/perdita/playful_mother/perdita-playful_mother-large.png",4,true,"Perdita - Playful Mother","Character",2,"Rare",,"Who's Next?: Whenever this character quests, you pay 2{i} less for the next Puppy character you play this turn.
Don't Be Afraid: Your Puppy characters gain Ward. (Opponents can't choose them except to challenge.)",4,1,"[""ARI-002""]",,,
"Mike Parker","Storyborn, Mentor, King","Amber","Sleeping Beauty","https://lorcana-api.com/images/king_stefan/new_father/king_stefan-new_father-large.png",5,true,"King Stefan - New Father","Character",1,"Common","Every parent struggles with getting their baby to sleep. Kings are no different.",,7,4,"[""ARI-003""]",,,
"John Loren / Nicholas Kole","Floodborn, Hero","Amber, Steel","Bolt","https://lorcana-api.com/images/bolt/superdog/bolt-superdog-large.png",5,true,"Bolt - Superdog","Character",2,"Super Rare",,"Shift 3 (You may pay 3 {i} to play this on top of one of your characters named Bolt.) Mark Of Power: Whenever you ready this character, gain 1 lore for each other undamaged character you have in play. 
Bolt Stare: {e} - Banish chosen Illusion character.",5,3,"[""ARI-004""]","Shift 5",,
"Hedvig H-S","Storyborn, Ally","Amber","101 Dalmatians","https://lorcana-api.com/images/roger_radcliff/dog_lover/roger_radcliff-dog_lover-large.png",1,true,"Roger Radcliff - Dog Lover","Character",1,"Common","The best part of completing the obstacle course was finding their human at the end.","There You Go: Whenever this character quests, you may remove up to 1 damage from each of your Puppy characters.",2,1,"[""ARI-005""]",,,
"Yu Nguyen","Storyborn, Ally","Amber","Lady and the Tramp","https://lorcana-api.com/images/trusty/loyal_bloodhound/trusty-loyal_bloodhound-large.png",2,true,"Trusty - Loyal Bloodhound","Character",1,"Common","""As my grandpappy, Old Reliable, used to say, save your energy for when it matters.""","Support (Whenever this character quests, you may add their {s} to another chosen character's {s} this turn.)",2,2,"[""ARI-006""]","Support",,
"Mariana Moreno","Storyborn, Ally","Amber, Emerald","Lady and the Tramp","https://lorcana-api.com/images/peg/natural_performer/peg-natural_performer-large.png",3,true,"Peg - Natural Performer","Character",1,"Uncommon",,"Captive Audience: {e} - If you have 3 or more other characters in play, draw a card.",4,2,"[""ARI-007""]",,,
"Kapik","Storyborn, Ally","Amber","Cinderella","https://lorcana-api.com/images/suzy/master_seamstress/suzy-master_seamstress-large.png",4,true,"Suzy - Master Seamstress","Character",2,"Common","The devoted mice were excited to surprise Cinderella with a new dress. Smiling, Archazia gave them a spool of magic thread. ""This will make it perfect,"" she said.",,4,3,"[""ARI-008""]",,,
"Brian Weisz","Storyborn, Ally","Amber","Bolt","https://lorcana-api.com/images/mittens/sassy_street_cat/mittens-sassy_street_cat-large.png",5,false,"Mittens - Sassy Street Cat","Character",2,"Rare",,"Bodyguard (This character may enter play exerted. An opposing character who challenges one of your characters must choose one with Bodyguard if able.)
NO THANKS NECESSARY: Once during your turn, whenever a card is put into your inkwell, your other characters with Bodyguard get +1 {l} this turn.",5,4,"[""ARI-009""]","Bodyguard",,
"Alan Batson","Storyborn, Hero","Amber, Emerald","Lady and the Tramp","https://lorcana-api.com/images/tram/street-smart_dog/tram-street-smart_dog-large.png",7,true,"Tramp - Street-Smart Dog","Character",2,"Rare",,"NOW IT'S A PARTY: For each character you have in play, you pay 1 {i} less to play this character.
HOW'S PICKINGS?: When you play this character, you may draw a card for each other character you have in play, then choose and discard that many cards.",6,2,"[""ARI-010""]",,,
"Carmine Pucci","Storyborn, Ally","Amber, Steel","The Three Musketeers","https://lorcana-api.com/images/the_troubadour/musical_narrator/the_troubadour-musical_narrator-large.png",2,true,"The Troubadour - Musical Narrator","Character",1,"Uncommon",,"Resist +1 (Damage dealt to this character is reduced by 1.)
Singer 4 (This character counts as cost 4 to sing songs.)",3,1,"[""ARI-011""]","Resist +1, Singer 4",,
"Jochem van Gool","Dreamborn, Hero, Queen, Pirate, Captain","Amber, Ruby","Peter Pan","https://lorcana-api.com/images/wendy_darling/pirate_queen/wendy_darling-pirate_queen-large.png",7,true,"Wendy Darling - Pirate Queen","Character",2,"Uncommon",,"Evasive (Only characters with Evasive can challenge this character.)
TELL NO TALES: Whenever one of your other characters is banished, you may remove all
damage from chosen character.",7,5,"[""ARI-012""]","Evasive",,
"Koni","Storyborn, Hero, Madrigal","Amber, Amethyst","Encanto","https://lorcana-api.com/images/mirabel_madrigal/hopeful_dreamer/mirabel_madrigal-hopeful_dreamer-large.png",3,true,"Mirabel Madrigal - Hopeful Dreamer","Character",1,"Uncommon","My family's amazing, and I'm in my family, so....","Evasive (Only characters with Evasive can challenge this character.)
Singer 5 (This character counts as cost 5 to sing songs.)",3,1,"[""ARI-013""]","Evasive, Singer 5",,
"Lisanne Koeteeuw","Storyborn, Hero, Princess","Amber","Sleeping Beauty","https://lorcana-api.com/images/aurora/waking_beauty/aurora-waking_beauty-large.png",3,true,"Aurora - Waking Beauty","Character",2,"Legendary",,"Singer 5 (This character counts as cost 5 to sing songs.)
SWEET DREAMS: Whenever you remove 1 or more damage from a character, ready this character. She can't quest or challenge for the rest of this turn.",4,1,"[""ARI-014""]","Singer 5",,
